,날짜,영화명,평점
250,20200806,가버나움,9.59
251,20200806,위대한 쇼맨,9.40
252,20200806,알라딘,9.38
253,20200806,소년시절의 너,9.37
254,20200806,에이리언 2,9.35
255,20200806,시네마 천국,9.31
256,20200806,패왕별희 디 오리지널,9.31
257,20200806,우리들,9.25
258,20200806,피아니스트의 전설,9.25
259,20200806,바람과 함께 사라지다,9.24
260,20200806,인셉션,9.23
261,20200806,톰보이,9.22
262,20200806,스타 이즈 본,9.18
263,20200806,에이리언,9.12
264,20200806,미스비헤이비어,9.05
265,20200806,박하사탕,9.04
266,20200806,타오르는 여인의 초상,9.04
267,20200806,미져리,9.02
268,20200806,"안녕, 나의 소울메이트",8.98
269,20200806,온워드: 단 하루의 기적,8.97
270,20200806,윤희에게,8.96
271,20200806,미션,8.92
272,20200806,여배우는 오늘도,8.85
273,20200806,시티 오브 갓,8.84
274,20200806,아멜리에,8.82
275,20200806,미녀와 야수,8.78
276,20200806,소공녀,8.77
277,20200806,벌새,8.76
278,20200806,베스트 오퍼,8.64
279,20200806,카메라를 멈추면 안 돼!,8.63
280,20200806,트로이,8.62
281,20200806,라라랜드,8.60
282,20200806,찬실이는 복도 많지,8.60
283,20200806,내일을 위한 시간,8.54
284,20200806,헤이트풀8,8.45
285,20200806,울프 콜,8.42
286,20200806,캐리,8.42
287,20200806,소리꾼,8.35
288,20200806,다가오는 것들,8.33
289,20200806,카페 벨에포크,8.31
290,20200806,밤쉘: 세상을 바꾼 폭탄선언,8.26
291,20200806,원 데이,8.22
292,20200806,몽상가들,8.11
293,20200806,야구소녀,8.11
294,20200806,다만 악에서 구하소서,8.06
295,20200806,매치 포인트,7.97
296,20200806,존 윅,7.95
297,20200806,도둑들,7.63
298,20200806,결백,7.62
299,20200806,호우시절,7.38
